poem,data,stereotype,original_lang
29,"She baked me my bread, she brewed me my ale,",1,English
29,She sat by the fire and told many a fine tale.,1,English
30,"I had a little husband no bigger than my thumb,",1,English
30,"I put him in a pint pot, and there I bid him drum;",0,English
30,"I bought a little handkerchief to wipe his little nose,",0,English
30,And a pair of little garters to tie his little hose.,0,English
31,"I like little pussy, her coat is so warm,",0,English
31,And if I don't hurt her she'll do me no harm;,0,English
31,"So I'll not pull her tail, nor drive her away,",0,English
31,But pussy and I very gently will play.,0,English
32,"Is John Smith within?—Yes, that he is.",0,English
32,"Can he set a shoe? Ay, marry, two.",1,English
32,"Here a nail and there a nail,",0,English
32,Tick—tack—too.,0,English
33,Jack Sprat,0,English
33,"Could eat no fat,",1,English
33,His wife could eat no lean;,1,English
33,"And so,",0,English
33,"Betwixt them both,",0,English
33,They licked the platter clean.,0,English
34,"Jack, be nimble; Jack, be quick;",0,English
34,"Jack, jump over the candlestick.",0,English
35,"Jacky, come give me your fiddle,",0,English
35,If ever you mean to thrive.,0,English
35,"Nay, I'll not give my fiddle",0,English
35,To any man alive.,0,English
36,If I should give my fiddle,0,English
36,"They'll think that I'm gone mad,",0,English
36,For many a joyful day,0,English
36,My fiddle and I have had.,0,English
37,"Lady-bird, Lady-bird,",0,English
37,"Fly away home,",0,English
37,"Your house is on fire,",0,English
37,Your children will burn.,0,English
38,"Thirty days hath September,",0,English
38,"April, June and November.",0,English
38,"All the rest have thirty-one,",0,English
38,"Excepting February alone,",0,English
38,And that has twenty-eight days clear,0,English
38,And twenty-nine in each leap year.,0,English
39,"Little Bo-peep has lost her sheep,",0,English
39,And can't tell where to find them;,0,English
39,"Leave them alone, and they'll come home,",0,English
39,And bring their tails behind them.,0,English
40,"Little Boy Blue, come blow your horn,",0,English
40,"The sheep's in the meadow, the cow's in the corn.",0,English
40,"What! Is this the way you mind your sheep,",0,English
40,Under the haycock fast asleep?,0,English
41,Little Jack Horner,0,English
41,"Sat in the corner,",0,English
41,Eating of Christmas pie:,0,English
41,"He put in his thumb,",0,English
41,"And pulled out a plum,",0,English
41,"And said, What a good boy am I!",0,English
42,"Here am I, little jumping Joan,",0,English
42,When nobody's with me,0,English
42,I'm always alone.,0,English
43,"Little King Boggen he built a fine hall,",0,English
43,"Pie-crust and pastry-crust, that was the wall;",0,English
43,"The windows were made of black puddings and white,",0,English
43,"And slated with pancakes,—you ne'er saw the like!",0,English
44,Little Nanny Etticoat,0,English
44,"In a white petticoat,",0,English
44,And a red nose;,0,English
44,The longer she stands,0,English
44,The shorter she grows.,0,English
45,Little Polly Flinders,0,English
45,Sat among the cinders,0,English
45,Warming her pretty little toes;,0,English
45,"Her mother came and caught her,",0,English
45,Whipped her little daughter,1,English
45,For spoiling her nice new clothes.,0,English
46,Little Tom Tucker,0,English
46,Sings for his supper.,0,English
46,What shall he eat?,0,English
46,White bread and butter.,0,English
46,How will he cut it,0,English
46,Without e'er a knife?,0,English
46,How will he marry,0,English
46,Without e'er a wife?,1,English
47,Little Tommy Tittlemouse,0,English
47,Lived in a little house;,0,English
47,He caught fishes,0,English
47,In other men's ditches.,0,English
48,"Lucy Locket lost her pocket,",0,English
48,Kitty Fisher found it;,0,English
48,"There was not a penny in it,",0,English
48,But a ribbon round it.,0,English
49,I'll tell you a story,0,English
49,"About Mary Morey,",0,English
49,And now my story's begun.,0,English
49,I'll tell you another,0,English
49,"About her brother,",0,English
49,And now my story's done.,0,English
50,Miss Jane had a bag and a mouse was in it;,0,English
50,"She opened the bag, he was out in a minute.",0,English
50,"The cat saw him jump and run under the table,",0,English
50,"And the dog said: Catch him, Puss, soon as you're able.",0,English
51,"Mistress Mary, quite contrary,",1,English
51,How does your garden grow?,0,English
51,With silver bells and cockle shells,0,English
51,And pretty maids all in a row.,0,English
52,"Old Mother Goose, when",0,English
52,"She wanted to wander,",0,English
52,Would ride through the air,0,English
52,On a very fine gander.,0,English
53,Old Mother Hubbard,0,English
53,Went to the cupboard,0,English
53,To get her poor dog a bone;,0,English
53,But when she came there,0,English
53,"The cupboard was bare,",0,English
53,And so the poor dog had none.,0,English
54,Old King Cole,0,English
54,"Was a merry old soul,",0,English
54,And a merry old soul was he;,0,English
54,"He called for his pipe,",0,English
54,"And he called for his bowl,",0,English
54,And he called for his fiddlers three.,0,English
55,"One misty, moisty morning,",0,English
55,"When cloudy was the weather,",0,English
55,I chanced to meet an old man clothed all in leather.,0,English
55,"He began to compliment, and I began to grin,",0,English
55,"How do you do, and how do you do?",0,English
55,And how do you do again?,0,English
56,"One, two, three, four, five,",0,English
56,I caught a hare alive;,0,English
56,"Six, seven, eight, nine, ten,",0,English
56,I let him go again.,0,English
57,"Oranges and lemons,",0,English
57,Say the bells of St. Clement's.,0,English
57,"You owe me five shillings,",0,English
57,Say the bells of St. Helen's.,0,English
57,When will you pay me?,0,English
57,Say the bells of Old Bailey.,0,English
57,"When I grow rich,",0,English
57,Say the bells of Shoreditch.,0,English
57,When will that be?,0,English
57,Say the bells of Stepney.,0,English
57,"I do not know,",0,English
57,Says the great Bell of Bow.,0,English
57,"Two sticks in an apple,",0,English
57,Ring the bells of Whitechapel.,0,English
57,"Halfpence and farthings,",0,English
57,Say the bells of St. Martin's.,0,English
57,"Kettles and pans,",0,English
57,Say the bells of St. Ann's.,0,English
57,"Brickbats and tiles,",0,English
57,Say the bells of St. Giles.,0,English
57,"Old shoes and slippers,",0,English
57,Say the bells of St. Peter's.,0,English
57,"Pokers and tongs,",0,English
57,Say the bells of St. John's.,0,English
58,"Pat a cake, pat a cake, Baker's man;",0,English
58,"So I do, master, as fast as I can.",0,English
58,"Pat it and prick it and mark it with T,",0,English
58,And then it will serve for Tommy and me.,0,English
59,"Pretty John Watts,",0,English
59,"We are troubled with rats,",0,English
59,Will you drive them out of the house?,0,English
59,"We have mice, too, in plenty,",0,English
59,"That feast in the pantry,",0,English
59,But let them stay,0,English
59,"And nibble away,",0,English
59,What harm in a little brown mouse?,0,English
60,"Pussy cat, pussy cat, where have you been?",0,English
60,I've been to London to see the Queen.,0,English
60,"Pussy cat, pussy cat, what did you there?",0,English
60,I frightened a little mouse under the chair.,0,English
61,Pussy-Cat sits by the fire;,0,English
61,How can she be fair?,1,English
61,In walks the little dog;,0,English
61,"Says: Pussy, are you there?",0,English
61,"How do you do, Mistress Pussy?",1,English
61,"Mistress Pussy, how d'ye do?",1,English
61,"I thank you kindly, little dog,",0,English
61,I fare as well as you!,0,English
62,Ride a cock horse,0,English
62,To Banbury Cross,0,English
62,To see what Tommy can buy:,0,English
62,"A penny white loaf,",0,English
62,"A penny white cake,",0,English
62,And a two-penny apple pie.,0,English
63,"Ride away, ride away,",0,English
63,"Johnny shall ride,",0,English
63,And he shall have pussy-cat,0,English
63,Tied to one side;,0,English
63,And he shall have little dog,0,English
63,"Tied to the other,",0,English
63,And Johnny shall ride,0,English
63,To see his grandmother.,0,English
64,Robin and Richard,0,English
64,Were two pretty men;,0,English
64,They stayed in bed,0,English
64,Till the clock struck ten.,0,English
64,Then up starts Robin,0,English
64,And looks at the sky:,0,English
64,"Oh, brother Richard,",0,English
64,The sun's very high.,0,English
64,You go before,0,English
64,"With the bottle and bag,",0,English
64,And I will come after,0,English
64,On little Jack nag.,0,English
65,"Rock-a-bye, baby, on the tree top,",0,English
65,"When the wind blows, the cradle will rock,",0,English
65,"When the bough breaks, the cradle will fall,",0,English
65,"And down will come baby, cradle and all.",0,English
66,"See saw, Margery Daw,",0,English
66,Jacky shall have a new master:,1,English
66,Jacky must have but a penny a day,0,English
66,Because he can work no faster.,0,English
67,Simple Simon met a pieman,0,English
67,Going to the fair;,0,English
67,Says Simple Simon to the pieman:,0,English
67,Pray let me taste your ware.,0,English
67,Says the pieman to Simple Simon:,0,English
67,Show me first your penny;,0,English
67,Says Simple Simon to the pieman:,0,English
67,Indeed I have not any.,0,English
68,"Sing a song of sixpence, a bag full of rye,",0,English
68,Four and twenty blackbirds baked in a pie;,0,English
68,"When the pie was opened the birds began to sing,",0,English
68,And wasn't this a dainty dish to set before the king?,0,English
68,The king was in the parlor counting out his money;,1,English
68,The queen was in the kitchen eating bread and honey;,1,English
68,"The maid was in the garden hanging out the clothes,",1,English
68,There came a little blackbird and nipped off her nose.,0,English
69,"I won't be my father's Jack,",0,English
69,I won't be my father's Jill;,0,English
69,"I will be the fiddler's wife,",1,English
69,And have music when I will.,0,English
69,"T'other little tune,",0,English
69,"T'other little tune,",0,English
69,"Prithee, Love, play me",0,English
69,T'other little tune.,0,English
70,"Hey, diddle, diddle!",0,English
70,"The cat and the fiddle,",0,English
70,The cow jumped over the moon;,0,English
70,The little dog laughed,0,English
70,"To see such sport,",0,English
70,And the dish ran away with the spoon.,0,English
71,The lion and the unicorn,0,English
71,Were fighting for the crown.,0,English
71,The lion beat the unicorn,0,English
71,All about the town.,0,English
71,"Some gave them white bread,",0,English
71,And some gave them brown;,0,English
71,"Some gave them plum-cake,",0,English
71,And drummed them out of town.,0,English
72,The little robin grieves,0,English
72,"When the snow is on the ground,",0,English
72,"For the trees have no leaves,",0,English
72,And no berries can be found.,0,English
72,"The air is cold, the worms are hid;",0,English
72,For robin here what can be done?,0,English
72,"Let's strow around some crumbs of bread,",0,English
72,And then he'll live till snow is gone.,0,English
73,The man in the moon came down too soon,0,English
73,To inquire the way to Norridge;,0,English
73,"The man in the south, he burnt his mouth",0,English
73,With eating cold plum porridge.,0,English
74,The man in the wilderness,0,English
74,Asked me,0,English
74,How many strawberries,0,English
74,Grew in the sea.,0,English
74,I answered him,0,English
74,"As I thought good,",0,English
74,As many red herrings,0,English
74,As grew in the wood.,0,English
75,"The north wind doth blow,",0,English
75,"And we shall have snow,",0,English
75,And what will poor robin do then?,0,English
75,Poor thing!,0,English
75,He'll sit in the barn,0,English
75,"And keep himself warm,",0,English
75,And hide his head under his wing.,0,English
75,Poor thing!,0,English
76,"There was an old man,",0,English
76,"And he had a calf,",0,English
76,And that's half;,0,English
76,"He took him out of the stall,",0,English
76,"And put him on the wall,",0,English
76,And that's all.,0,English
77,"The Queen of Hearts,",0,English
77,She made some tarts,1,English
77,All on a summer's day;,0,English
77,"The Knave of Hearts,",0,English
77,"He stole those tarts,",0,English
77,And took them clean away.,0,English
78,The King of Hearts,0,English
78,"Called for the tarts,",0,English
78,And beat the Knave full sore;,0,English
78,The Knave of Hearts,0,English
78,"Brought back the tarts,",0,English
78,And vowed he'd steal no more.,0,English
79,"The sow came in with the saddle,",0,English
79,"The little pig rocked the cradle,",0,English
79,The dish jumped up on the table,0,English
79,To see the pot swallow the ladle.,0,English
79,The spit that stood behind the door,0,English
79,Threw the pudding-stick on the floor.,0,English
79,"Odsplut! said the gridiron,",0,English
79,Can't you agree?,0,English
79,"I'm the head constable,",0,English
79,Bring them to me!,0,English
80,"A diller, a dollar, a ten o'clock scholar!",0,English
80,What makes you come so soon?,0,English
80,"You used to come at ten o'clock,",0,English
80,But now you come at noon.,0,English
81,"The two gray kits,",0,English
81,"And the gray kits' mother,",0,English
81,All went over,0,English
81,The bridge together.,0,English
81,"The bridge broke down,",0,English
81,They all fell in;,0,English
81,"May the rats go with you,",0,English
81,Says Tom Bolin.,0,English
82,"There was a crooked man,",0,English
82,"And he went a crooked mile,",0,English
82,He found a crooked sixpence,0,English
82,Against a crooked stile;,0,English
82,He bought a crooked cat,0,English
82,"Which caught a crooked mouse,",0,English
82,And they all lived together,0,English
82,In a little crooked house.,0,English
83,There was a little boy went into a barn,0,English
83,And lay down on some hay;,0,English
83,"A calf came out and smelled about,",0,English
83,And the little boy ran away.,0,English
84,"There was a man and he had naught,",0,English
84,And robbers came to rob him;,0,English
84,"He crept up to the chimney top,",0,English
84,And then they thought they had him.,0,English
84,"But he got down on the other side,",0,English
84,And then they could not find him;,0,English
84,"He ran fourteen miles in fifteen days,",0,English
84,And never looked behind him.,0,English
85,"There was a man in our town,",0,English
85,"And he was wondrous wise,",0,English
85,"He jumped into a bramble-bush,",0,English
85,And scratched out both his eyes;,0,English
85,"And when he saw his eyes were out,",0,English
85,With all his might and main,0,English
85,He jumped into another bush,0,English
85,And scratched them in again.,0,English
86,"There was an old woman lived under the hill,",0,English
86,And if she's not gone she lives there still.,0,English
86,"Baked apples she sold, and cranberry pies,",1,English
86,And she's the old woman that never told lies.,0,English
87,There was an old woman,0,English
87,Sold puddings and pies;,0,English
87,"She went to the mill,",0,English
87,And dust flew in her eyes.,0,English
87,"While through the streets,",0,English
87,To all she meets,0,English
87,She ever cries:,1,English
87,Hot Pies—Hot Pies.,0,English
88,There was an old woman tossed in a blanket,0,English
88,Seventeen times as high as the moon;,0,English
88,"But where she was going no mortal could tell,",0,English
88,For under her arm she carried a broom.,1,English
88,"Old woman, old woman, old woman, said I,",0,English
88,"Whither, ah whither, ah whither so high?",0,English
88,"To sweep the cobwebs from the sky,",0,English
88,And I'll be with you by and by.,0,English
89,"There were two birds sat upon a stone,",0,English
89,Fal de ral-al de ral-laddy.,0,English
89,"One flew away and then there was one,",0,English
89,Fal de ral-al de ral-laddy.,0,English
89,"The other flew after and then there was none,",0,English
89,Fal de ral-al de ral-laddy.,0,English
89,"So the poor stone was left all alone,",0,English
89,Fal de ral-al de ral-laddy.,0,English
89,"One of these little birds back again flew,",0,English
89,Fal de ral-al de ral-laddy.,0,English
89,"The other came after and then there were two,",0,English
89,Fal de ral-al de ral-laddy.,0,English
89,"Says one to the other: Pray, how do you do?",0,English
89,Fal de ral-al de ral-laddy.,0,English
89,"Very well, thank you, and pray how are you?",0,English
89,Fal de ral-al de ral-laddy.,0,English
90,Three children sliding on the ice,0,English
90,"Upon a summer's day,",0,English
90,"As it fell out, they all fell in,",0,English
90,The rest they ran away.,0,English
90,"Oh, had these children been at school,",0,English
90,"Or sliding on dry ground,",0,English
90,Ten thousand pounds to one penny,0,English
90,They had not then been drowned.,0,English
90,"Ye parents who have children dear,",0,English
90,"And ye, too, who have none,",0,English
90,"If you would keep them safe abroad,",0,English
90,Pray keep them safe at home.,0,English
91,Three wise men of Gotham,0,English
91,"Went to sea in a bowl,",0,English
91,And if the bowl had been stronger,0,English
91,My song had been longer.,0,English
92,"To bed, to bed, says Sleepy-Head;",0,English
92,"Let's stay awhile, says Slow;",0,English
92,"Put on the pot, says Greedy-Sot,",0,English
92,We'll sup before we go.,0,English
93,"To market, to market, to buy a fat pig,",0,English
93,"Home again, home again, jiggety, jig.",0,English
94,"Tom, Tom, the piper's son,",0,English
94,"Stole a pig, and away he run;",0,English
94,"The pig was eat,",0,English
94,"And Tom was beat,",0,English
94,And Tom ran crying down the street.,0,English
95,"Wee Willie Winkie runs through the town,",0,English
95,"Upstairs and downstairs, in his nightgown;",0,English
95,"Tapping at the window, crying at the lock:",0,English
95,"Are the babes in their beds, for it's now ten o'clock?",0,English
96,When good King Arthur ruled his land,0,English
96,He was a goodly king;,0,English
96,He stole three pecks of barley meal,0,English
96,To make a bag-pudding.,0,English
96,"A bag-pudding the king did make,",0,English
96,"And stuffed it well with plums,",0,English
96,And in it put great lumps of fat,0,English
96,As big as my two thumbs.,0,English
96,"The king and queen did eat thereof,",0,English
96,"And noblemen beside,",0,English
96,And what they could not eat that night,0,English
96,The queen next morning fried.,0,English
97,"When I was a little boy I lived by myself,",0,English
97,And all the bread and cheese I got I put upon a shelf;,0,English
97,"The rats and the mice, they made such a strife,",0,English
97,I was forced to go to London to buy me a wife.,1,English
97,"The streets were so broad and the lanes were so narrow,",0,English
97,I was forced to bring my wife home in a wheelbarrow;,1,English
97,"The wheelbarrow broke and my wife had a fall,",0,English
97,"And down came the wheelbarrow, wife and all.",0,English
98,"'Twas once upon a time, when Jenny Wren was young,",0,English
98,"So daintily she danced and so prettily she sung,",1,English
98,"Robin Redbreast lost his heart, for he was a gallant bird,",0,English
98,"So he doffed his hat to Jenny Wren, requesting to be heard.",0,English
98,"O, dearest Jenny Wren, if you will but be mine,",1,English
98,"You shall feed on cherry pie and drink new currant wine,",0,English
98,"I'll dress you like a goldfinch or any peacock gay,",0,English
98,"So, dearest Jen, if you'll be mine let us appoint the day.",1,English
98,Jenny blushed behind her fan and thus declared her mind:,1,English
98,"Since, dearest Bob, I love you well, I take your offer kind;",1,English
98,"Cherry pie is very nice and so is currant wine,",0,English
98,But I must wear my plain brown gown and never go too fine.,0,English
99,The little robin grieves,0,English
99,"When the snow is on the ground,",0,English
99,"For the trees have no leaves,",0,English
99,And no berries can be found.,0,English
99,"The air is cold, the worms are hid;",0,English
99,For robin here what can be done?,0,English
99,"Let’s strow around some crumbs of bread,",0,English
99,And then he’ll live till snow is gone.,0,English
100,"Willie boy, Willie boy,",0,English
100,Where are you going?,0,English
100,"O, let us go with you",0,English
100,This sunshiny day.,0,English
100,I'm going to the meadow,0,English
100,"To see them a-mowing,",0,English
100,I'm going to help the girls,1,English
100,Turn the new hay.,0,English
101,"Oh! Shall I tell you, Mama,",0,English
101,What is causing my torment?,0,English
101,Daddy wants me to reason,0,English
101,"Like a big, big person,",0,English
101,"But I say that candies,",0,English
101,Are worth more than the reason,0,English
102,"The ants go marching one by one, hurrah, hurrah.",0,English
102,"The ants go marching one by one, hurrah, hurrah.",0,English
102,"The ants go marching one by one,",0,English
102,The little one stops to suck his thumb.,0,English
102,"And they all go marching down,",0,English
102,"To the ground, to get out of the rain.",0,English
102,BOOM! BOOM! BOOM!,0,English
102,…two…tie her shoe…,0,English
102,…three….climb a tree…,0,English
102,…four…shut the door…,0,English
102,…five…take a dive…,0,English
102,…six…pick up sticks…,0,English
102,…seven…pray to heaven…,0,English
102,…eight…check the gate…,0,English
102,…nine…check the time…,0,English
102,…ten…say “The End!”,0,English
103,"Says A,",0,English
103,"give me a good large slice,",0,English
103,"Says B,",0,English
103,"a little bit, but nice,",0,English
103,"Says C,",0,English
103,"cut me a piece of crust, Take",0,English
103,"it, says D,",0,English
103,"it’s dry as dust,",0,English
103,"Says E,",0,English
103,"I’ll eat it fast,",0,English
103,"I will, Says F,",0,English
103,"I vow I’ll have my fill,",0,English
103,"Says G,",0,English
103,"give it me good and great, Says H, a little bit I hate,",0,English
103,"Says I,",0,English
103,"it’s ice I must request,",0,English
103,"Says J,",0,English
103,"the juice I love the best,",0,English
103,"Says K,",0,English
103,"let’s keep it up above,",0,English
103,"Says L,",0,English
103,"the border’s what I love,",0,English
103,"Says M,",0,English
103,"it makes your teeth to chatter,",0,English
103,"N said,",0,English
103,"it’s nice, there’s nought the matter,",0,English
103,O,0,English
103,"others’ plates with grief surveyed,",0,English
103,P,0,English
103,"for a large piece begged and prayed,",0,English
103,Q,0,English
103,"quarrelled for the topmost slice,",0,English
103,R,0,English
103,"rubbed his hands and said “it’s nice,”",0,English
103,S,0,English
103,"silent sat, and simply looked,",0,English
103,T,0,English
103,"thought, and said, it’s nicely cooked,",0,English
103,U,0,English
103,"understood the fruit was cherry,",0,English
103,V,0,English
103,"vanished when they all got merry,",0,English
103,W,0,English
103,wished there’d been a quince,0,English
103,"in, X",0,English
103,"here explained he’d need convincing,",0,English
103,"Y said,",0,English
103,"I’ll eat, and yield to none,",0,English
103,"Z,",0,English
103,"like a zany, said he’d done,",0,English
103,"While ampersand purloined the dish,",0,English
103,And for another pie did wish.,0,English
103,A was an Apple pie;,0,English
103,B bit it;,0,English
103,C cut it;,0,English
103,D dealt it;,0,English
103,E eat it;,0,English
103,F fought for it;,0,English
103,G got it;,0,English
103,H had it;,0,English
103,J joined it;,0,English
103,K kept it;,0,English
103,L longed for it;,0,English
103,M mourned for it;,0,English
103,N nodded at it;,0,English
103,O opened it;,0,English
103,P peeped in it;,0,English
103,Q quartered it;,0,English
103,R ran for it;,0,English
103,S stole it;,0,English
103,T took it;,0,English
103,V viewed it;,0,English
103,W wanted it;,0,English
103,"X, Y, Z, and ampersand,",0,English
103,All wished for a piece in hand.,0,English
104,Are you sleeping? Are you sleeping?,0,English
104,"Brother John, Brother John,",0,English
104,Morning bells are ringing! Morning bells are ringing!,0,English
104,"Ding, dang, dong. Ding, dang, dong.",0,English
105,"A sailor went to sea, sea, sea,",0,English
105,"To see what he could see, see, see.",0,English
105,"But all that he could see, see, see,",0,English
105,"Was the bottom of the deep blue sea, sea, sea.",0,English
105,"A sailor went to sea, sea, sea,",0,English
105,"To see what he could see, see, see.",0,English
105,"But all that he could see, see, see,",0,English
105,"Was the bottom of the deep blue sea, sea, sea.",0,English
106,As I was going to St Ives,0,English
106,I met a man with seven wives,1,English
106,Every wife had seven sacks,1,English
106,Every sack had seven cats,0,English
106,Every cat had seven kits,0,English
106,"Kits, cats, sacks, wives",0,English
106,How many were going to St Ives?,0,English
107,A wise old owl lived in an oak,0,English
107,The more he saw the less he spoke,0,English
107,The less he spoke the more he heard.,0,English
107,Why can’t we all be like that wise old bird?,0,English
108,All my ducklings,0,English
108,"Swimming on the lake,",0,English
108,"Swimming on the lake,",0,English
108,"Heads in the water,",0,English
108,Little tails up in the air!,0,English
108,All my little doves,0,English
108,"Sitting on the roof,",0,English
108,Sitting on the roof;,0,English
108,"Clipper, clapper, clap, clap,",0,English
108,They fly over the roof.,0,English
108,All my chickens,0,English
108,Scratching in the straw,0,English
108,Scratching in the straw,0,English
108,"Find a little grain,",0,English
108,They’re all happy.,0,English
108,All my goslings,0,English
108,"Waddle across the ground,",0,English
108,"Waddle across the ground,",0,English
108,"Search in the pond,",0,English
